player1;player2;bot_type;game_number;nodes;depth;move;cache_hits;time;cache_size;move_number;round_number
FINAL1;NOTABUG;final1;12.0;231045.0;10.0; (1 , 6): -11;431.0;682.0;81274.0;12.0;6.0
FINAL1;NOTABUG;final1;12.0;288694.0;8.0; (1 , 8): -152;820.0;665.0;94245.0;14.0;7.0
FINAL1;NOTABUG;final1;12.0;1033307.0;11.0; (7 , 7): -142;2407.0;2995.0;363081.0;16.0;8.0
FINAL1;NOTABUG;final1;12.0;425518.0;10.0; (0 , 1): -153;1115.0;1149.0;141478.0;18.0;9.0
FINAL1;NOTABUG;final1;12.0;395821.0;11.0; (0 , 7): -157;1276.0;387.0;138238.0;20.0;10.0
FINAL1;NOTABUG;final1;12.0;410695.0;11.0; (2 , 2): -256;3131.0;328.0;186823.0;22.0;11.0
FINAL1;NOTABUG;final1;12.0;271085.0;10.0; (8 , 0): -248;3458.0;681.0;105221.0;24.0;12.0
FINAL1;NOTABUG;final1;12.0;560377.0;13.0; (0 , 8): -55;3954.0;1210.0;274747.0;26.0;13.0
FINAL1;NOTABUG;final1;12.0;255884.0;10.0; (8 , 2): -231;3559.0;704.0;96117.0;28.0;14.0
FINAL1;NOTABUG;final1;12.0;335346.0;12.0; (0 , 6): 178;5148.0;788.0;165246.0;30.0;15.0
FINAL1;NOTABUG;final1;13.0;0.0;0.0; (4 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;13.0;0.0;0.0; (8 , 5): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;13.0;0.0;0.0; (3 , 6): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;13.0;272510.0;8.0; (1 , 6): 12;528.0;901.0;62334.0;7.0;4.0
FINAL1;NOTABUG;final1;13.0;298491.0;9.0; (0 , 4): 17;989.0;748.0;66522.0;9.0;5.0
FINAL1;NOTABUG;final1;13.0;204814.0;9.0; (7 , 4): 89;402.0;642.0;41754.0;11.0;6.0
FINAL1;NOTABUG;final1;13.0;418305.0;10.0; (6 , 2): -1;1035.0;1222.0;122709.0;13.0;7.0
FINAL1;NOTABUG;final1;13.0;520265.0;10.0; (8 , 2): 1;1142.0;1520.0;135686.0;15.0;8.0
FINAL1;NOTABUG;final1;13.0;572668.0;10.0; (0 , 2): 85;1259.0;217.0;178051.0;17.0;9.0
FINAL1;NOTABUG;final1;13.0;190709.0;10.0; (2 , 5): -3;337.0;673.0;61926.0;19.0;10.0
FINAL1;NOTABUG;final1;13.0;211009.0;9.0; (5 , 8): -9;364.0;633.0;62217.0;21.0;11.0
FINAL1;NOTABUG;final1;13.0;417460.0;10.0; (7 , 8): -2;1760.0;310.0;153515.0;23.0;12.0
FINAL1;NOTABUG;final1;13.0;261452.0;10.0; (1 , 8): 13;959.0;352.0;96066.0;25.0;13.0
FINAL1;NOTABUG;final1;13.0;246079.0;9.0; (0 , 6): 101;467.0;759.0;80372.0;27.0;14.0
FINAL1;NOTABUG;final1;13.0;391672.0;12.0; (6 , 5): 151;4147.0;168.0;182393.0;29.0;15.0
FINAL1;NOTABUG;final1;13.0;242254.0;12.0; (6 , 8): 12;2121.0;608.0;130108.0;31.0;16.0
FINAL1;NOTABUG;final1;14.0;0.0;0.0; (4 , 3): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;14.0;0.0;0.0; (3 , 6): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;14.0;0.0;0.0; (6 , 3): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;14.0;681014.0;9.0; (5 , 4): 87;1199.0;275.0;187431.0;8.0;4.0
FINAL1;NOTABUG;final1;14.0;272396.0;8.0; (0 , 4): 11;640.0;934.0;94098.0;10.0;5.0
FINAL1;NOTABUG;final1;14.0;244213.0;9.0; (8 , 6): -19;301.0;608.0;68281.0;12.0;6.0
FINAL1;NOTABUG;final1;14.0;383066.0;10.0; (7 , 8): -22;611.0;1244.0;129387.0;14.0;7.0
FINAL1;NOTABUG;final1;14.0;216109.0;9.0; (0 , 8): -12;222.0;670.0;59810.0;16.0;8.0
